Q1,Q2,Interviewee_speech,Domain,Criterion,A1,A2_Q1,A2_Q2,A3_Q1,A3_Q2,A4_Q1,A4_Q2,origin
"What types of restaurants do you typically prefer over fast food, and what specific features or qualities do you look for in those restaurants?",What other types of restaurants do you usually prefer then?,"like my favorite type of restaurant is not like the fast food
",restaurant finding,A good follow-up question should look for alternatives to existing information.,2,2,4,2,4,3,4,0
What factors do you consider when evaluating the quality or convenience of parking areas near hiking trails?,How do you gather information about the parking situation at different hiking trails?,"I take a car so parking's very important
",hiking trail finding,A good follow-up question should elicit tacit knowledge that are known to the interviewee but unknown to the interviewer.,1,4,2,4,2,4,3,0
What steps did you initially take to set up your automatic payment systems for rent and utilities?,Why do you think the mode of paying bills is a necessary factor to consider for an apartment search?,I just pay online once a month  it's an automatic thing  it's just like straight out of my bank account   and then utilities like Gas and Electric I set up my own account and like it's also automatic so I don't really have to do anything basically,apartment finding,A good follow-up question should elicit tacit knowledge that are known to the interviewee but unknown to the interviewer.,2,2,5,5,5,2,5,0
How do you get to know about horrid stories related to hiking trails?,What specific types of stories or features about a hiking trail make you feel it's 'scary' or to be avoided?,I think no I just want to avoid the scary hiking trails with horrid stories a little and just be alert when I'm hiking because this kind of stories just scared me unnecessarily a bit,hiking trail finding,A good follow-up question should elicit tacit knowledge that are known to the interviewee but unknown to the interviewer.,2,4,5,5,5,2,4,1
How often do you walk versus other means of commuting?,What is your usual walking distance limit when looking for an apartment?,"I don't have the car, so I generally walk.",apartment finding,A good follow-up question should ask for clarification whenever words the interviewee said are unclear.,2,4,5,5,5,4,4,1
"Besides references from friends and family, what other factors do you consider important when choosing a clinic?",What other factors do you consider while finding clinics?,reference is a big factor that's like first hand experience by my friends and family members so that would hold a lot of weight,clinic finding,A good follow-up question should look for alternatives to existing information.,1,5,5,5,5,4,4,0
What are the specific errors in your experience that people make while trekking?,What specific precautions do you take to ensure safety when hiking in light rain or snow?,I recommend no extreme weather because too much heat is bad too much of anything is bad but I have hiked both in the rain and in the snow with light rain and snow although I thought it will not be fun but actually it was really fun  I think the only tips would be to be mindful of your surroundings be very alert because one does not know what might happen and or what's there in nature like there are other animals which might be scared of us and always carry water,hiking trail finding,"A good follow-up question should avoid asking questions that lead to multiple interpretations, which are questions that can be interpreted in more than one way.",2,4,4,5,5,5,5,1
What alternative methods do you use to find clinics if the ones with good ratings aren't covered by your insurance?,Do you look for any other criteria besides insurance coverage to decide clinics?,if that's not the case then the second thing that I do is I Google at the particular doctor clinics with good ratings and if it's covered under my insurance I'll just proceed with that particular clinic,clinic finding,A good follow-up question should look for alternatives to existing information.,2,5,5,5,5,5,5,0
What specific precautions or preparations do you take to ensure safety and enjoyment when hiking in unpredictable weather conditions?,What if the water that we carry gets finished?,I recommend no extreme weather because too much heat is bad too much of anything is bad but I have hiked both in the rain and in the snow with light rain and snow although I thought it will not be fun but actually it was really fun  I think the only tips would be to be mindful of your surroundings be very alert because one does not know what might happen and or what's there in nature like there are other animals which might be scared of us and always carry water,hiking trail finding,A good follow-up question should be able to justify or authorize assumptions that the interviewee tacitly made without justification.,1,5,4,5,5,5,5,0
"Could you clarify what you mean by ""approximity""?",What do you consider as good proximity to your place?,maybe the approximity to my place but that is the least secondary,clinic finding,A good follow-up question should ask for clarification whenever words the interviewee said are unclear.,2,5,5,5,5,4,4,0
How do you find out about new restaurants or dining options?,What type of cuisine do you prefer when choosing a restaurant?,I don't have any dietary restrictions like I can eat any meat or I can eat any vegetables I'm not even a veggie,restaurant finding,"A good follow-up question should not be too long or articulated, which would require the interviewee to ask for repeating or rephrase multiple times.",1,3,3,5,5,2,4,1
What if it is a new clinic with no Google reviews so far?,What factors make a friend's recommendation more influential to you than the reviews you find online?,yeah I also take recommendations from other people if some trusted friends recommend some clinic I also  ticket into consideration but I also look at the Google reviews as well,clinic finding,A good follow-up question should be able to justify or authorize assumptions that the interviewee tacitly made without justification.,2,4,4,5,5,4,4,1
Why do you consider the sources of the stories as reliable information?,"What specific elements or features of a hiking trail make you perceive it as ""scary"" or potentially hazardous?",I think no I just want to avoid the scary hiking trails with horrid stories a little and just be alert when I'm hiking because this kind of stories just scared me unnecessarily a bit,hiking trail finding,A good follow-up question should be able to justify or authorize assumptions that the interviewee tacitly made without justification.,2,2,5,2,5,2,5,1
How do you typically check the weather conditions before planning your hike?,What other factors do you consider for deciding what to wear?,"for clothes it really depends on the weather conditions how the weather is looking for the next probably a few hours
",hiking trail finding,"A good follow-up question should avoid asking vague questions that could infer no reasonable meaning, which are questions that do not have enough context or clarity for interviewee to answer.",2,2,4,4,5,1,5,0
What are some key safety precautions that you ensure while hiking?,What do you look for in a good parking spot?,"I take a car so parking's very important
",hiking trail finding,"A good follow-up question should not be too long or articulated, which would require the interviewee to ask for repeating or rephrase multiple times.",2,1,5,5,5,5,4,1
What other factors do you consider for deciding what to wear?,How do you find or decide on alternative clothing options in case the weather conditions change unexpectedly during your hike?,"for clothes it really depends on the weather conditions how the weather is looking for the next probably a few hours
",hiking trail finding,A good follow-up question should look for alternatives to existing information.,2,2,5,5,5,4,5,1
"What factors do you consider when determining if a clinic's ratings are ""good""?","What if the insurance covers no clinics with good ratings? What if there are no clinics with ""good"" ratings? ",if that's not the case then the second thing that I do is I Google at the particular doctor clinics with good ratings and if it's covered under my insurance I'll just proceed with that particular clinic,clinic finding,A good follow-up question should be able to justify or authorize assumptions that the interviewee tacitly made without justification.,1,5,4,5,5,4,5,0
Why do you consider pizza as an easy-to-go option?,What factors do you consider when determining if it's been a 'decent amount of time' since you last had a particular type of food?,I usually like to have a bit of diversity so I would not eat what I ate in the last couple days  the exception to that is I can always have pizza breakfast lunch or dinner and anytime even multiple meals a day Pizza is like you know an easy go to option but usually it's related to what haven't I had in a decent amount of time,restaurant finding,A good follow-up question should elicit tacit knowledge that are known to the interviewee but unknown to the interviewer.,2,4,4,5,5,2,4,1
Why do you think the feel of an area is an important factor to consider while finding apartments?,What specific things do you look for when checking out an area to get a good feel about it?,"You can like, do some research online, but also by just checking out the area. I think. Okay. So just checking out the area and see if we get a good feel about it.",apartment finding,A good follow-up question should elicit tacit knowledge that are known to the interviewee but unknown to the interviewer.,2,4,4,5,5,2,1,1
"If the landlord showcases bad characteristics, is that a deal breaker for you? ",What specific aspects of the landlord relationship do you find important?,Landlord relation is pretty important.,apartment finding,"A good follow-up question should avoid asking questions that lead to multiple interpretations, which are questions that can be interpreted in more than one way.",2,2,4,2,4,4,2,1
What if you wanted to hike in a city where such information wasn't available?,What factors do you consider when deciding which park's trail information is reliable for planning your hikes?,yes well I decide whether a trail is long or short by how many miles it is  usually for state parks or even most of the parks in my city they have published information regarding how long one Loop of the trail is  I try to walk at least a mile at a time,hiking trail finding,A good follow-up question should be able to justify or authorize assumptions that the interviewee tacitly made without justification.,2,2,4,2,4,2,4,1
"What other factors, besides pricing and portion size, influence your decision when choosing a restaurant?",What other factors do you consider while finding restaurants?,I think I'm looking for the balance it was a bounce between the pricing and the portion so even if it is expensive but it has a great amount of portion I think I will assume that it's a good thing but if it's unbalanced like it has a great high price but very less portion or Little Portion I will hate it,restaurant finding,A good follow-up question should look for alternatives to existing information.,2,4,4,4,4,2,2,0
"What do you mean by ""just checking out the area"" and how do you get a good feel about it?",What constitutes a good feel in an area according to you?,"You can like, do some research online, but also by just checking out the area. I think. Okay. So just checking out the area and see if we get a good feel about it.",apartment finding,A good follow-up question should ask for clarification whenever words the interviewee said are unclear.,1,5,5,5,4,5,4,0
What issues have you faced regarding payment methods in restaurants?,What makes you doubtful that Apple Pay is the common case for restaurant finding?,"Just having Apple pay help. Alright, It's more clean, but I am doubtful that's the common case.
",restaurant finding,"A good follow-up question should avoid asking questions that lead to multiple interpretations, which are questions that can be interpreted in more than one way.",2,1,4,2,4,2,4,1
Can you describe a specific experience where a landlord's management style impacted your apartment finding decision?,Why do you think the relationship with the landlord is an important factor while finding apartments?,"Management is important. Just in general, good landlords, relations.",apartment finding,A good follow-up question should elicit tacit knowledge that are known to the interviewee but unknown to the interviewer.,1,5,4,5,5,4,5,0
How do you determine which references from friends and family are reliable when evaluating a clinic?,What if no one has any references?,reference is a big factor that's like first hand experience by my friends and family members so that would hold a lot of weight,clinic finding,A good follow-up question should be able to justify or authorize assumptions that the interviewee tacitly made without justification.,1,5,3,5,1,5,3,0
What other factors do you consider for deciding which trail to go?,"What factors influence your decision when the weather is not sunny, such as on cloudy or rainy days?",yes depending on the weather if it's like a super sunny day I will go for a trail that has more tree cover,hiking trail finding,A good follow-up question should look for alternatives to existing information.,2,4,5,5,5,4,4,1
What factors are most important to you when deciding to renew your lease?,What if you do not get an option to renew for a place that matches your other criteria?,Renewing lease is pretty important. I don't wanna have to look for any place of the year.,apartment finding,"A good follow-up question should avoid asking questions that lead to multiple interpretations, which are questions that can be interpreted in more than one way.",2,2,4,5,5,4,5,0
How important do you think online reviews are in helping you find restaurants?,What type of restaurant do you prefer over fast food?,"like my favorite type of restaurant is not like the fast food
",restaurant finding,"A good follow-up question should not be too long or articulated, which would require the interviewee to ask for repeating or rephrase multiple times.",2,3,5,5,5,3,5,1
"What specific features do you look for in a trail when the weather is different, such as cloudy or rainy?",How do you identify trails with more tree covers?,yes depending on the weather if it's like a super sunny day I will go for a trail that has more tree cover,hiking trail finding,A good follow-up question should elicit tacit knowledge that are known to the interviewee but unknown to the interviewer.,1,5,3,5,5,5,3,0
How do you usually find out about and choose the utility providers when you move into a new apartment?,What do you want them to improve in their online payment method?,I just pay online once a month  it's an automatic thing  it's just like straight out of my bank account   and then utilities like Gas and Electric I set up my own account and like it's also automatic so I don't really have to do anything basically,apartment finding,"A good follow-up question should not ask the interviewee to present a solution to satisfy a requirement. For example, it's inappropriate to ask users about how to design a specific feature, or what would an ideal user interface look like.",1,4,2,4,2,3,4,0
Will you consider repeating anything else apart from pizza?,"What are some alternative cuisine types or dishes, other than pizza, that you find yourself returning to frequently when exploring restaurant options?",I usually like to have a bit of diversity so I would not eat what I ate in the last couple days  the exception to that is I can always have pizza breakfast lunch or dinner and anytime even multiple meals a day Pizza is like you know an easy go to option but usually it's related to what haven't I had in a decent amount of time,restaurant finding,A good follow-up question should look for alternatives to existing information.,1,4,4,4,4,4,4,1
What methods do you typically use to discover new restaurants if you don't rely on social media platforms?,How do you search for restaurants instead?,I'm not like a social media person I don't see Twitter or Facebook or Instagram much so that's why I don't use those yeah,restaurant finding,A good follow-up question should look for alternatives to existing information.,1,4,4,4,4,4,4,0
How did you set up the automatic payments for your utilities and rent?,What do you want them to improve in their online payment method?,I just pay online once a month  it's an automatic thing  it's just like straight out of my bank account   and then utilities like Gas and Electric I set up my own account and like it's also automatic so I don't really have to do anything basically,apartment finding,"A good follow-up question should avoid asking questions that lead to multiple interpretations, which are questions that can be interpreted in more than one way.",1,4,3,4,4,2,2,0
What are the specific errors in your experience that people make while trekking?,How do you decide which weather conditions are too extreme for hiking?,I recommend no extreme weather because too much heat is bad too much of anything is bad but I have hiked both in the rain and in the snow with light rain and snow although I thought it will not be fun but actually it was really fun  I think the only tips would be to be mindful of your surroundings be very alert because one does not know what might happen and or what's there in nature like there are other animals which might be scared of us and always carry water,hiking trail finding,"A good follow-up question should not be too long or articulated, which would require the interviewee to ask for repeating or rephrase multiple times.",1,4,5,4,4,5,4,1
What other alternatives do you consider besides walking on hiking trails?,"Have you ever used any apps or additional resources to determine trail lengths, or do you rely solely on the published information from the parks?",yes well I decide whether a trail is long or short by how many miles it is  usually for state parks or even most of the parks in my city they have published information regarding how long one Loop of the trail is  I try to walk at least a mile at a time,hiking trail finding,A good follow-up question should look for alternatives to existing information.,2,3,4,4,4,4,4,1
How important is the extra amount on top of insurance that one needs to pay while deciding which clinic to visit?,What type of public transport would be most convenient for you to reach the clinic without changing buses?,one important factor for me is the public transport option because I don't drive and I myself don't need any disability accessibility I don't want to change buses to reach the clinic,clinic finding,"A good follow-up question should avoid asking questions that lead to multiple interpretations, which are questions that can be interpreted in more than one way.",2,2,4,4,4,4,3,1
What other factors do you consider important while searching for hiking trails?,What do you do if the parking area is full or unavailable?,"I take a car so parking's very important
",hiking trail finding,A good follow-up question should look for alternatives to existing information.,1,4,3,4,4,4,3,1
How do you prefer the laundry facilities in an apartment?,How many people are you considering living with in the apartment?,I was not going to have roommates in probably a studio. Might depend on how many people I can find.,apartment finding,"A good follow-up question should avoid asking questions that lead to multiple interpretations, which are questions that can be interpreted in more than one way.",2,1,5,1,5,4,3,1
What specific qualities do you look for in a good landlord?,How important is it for you to have a good equation with your landlord?,"Management is important. Just in general, good landlords, relations.",apartment finding,"A good follow-up question should not involve multiple kinds of requirements, i.e., it should not mix different categories of requirements or multiple specific requirements within one category into one single question.",1,5,4,5,1,4,4,0
What other alternatives do you consider besides walking on hiking trails?,What sources do you use to find the published information about trail lengths?,yes well I decide whether a trail is long or short by how many miles it is  usually for state parks or even most of the parks in my city they have published information regarding how long one Loop of the trail is  I try to walk at least a mile at a time,hiking trail finding,"A good follow-up question should avoid asking questions that lead to multiple interpretations, which are questions that can be interpreted in more than one way.",2,2,5,5,5,3,3,1
What other factors do you like/dislike about doctors?,What specific information or steps do you feel doctors are currently not being clear about when you're trying to find the right clinic?,yeah I think I would just prefer the doctors if they wouldn't beat around the bush and just be honest to me step by step,clinic finding,"A good follow-up question should be related to the interview domain, and should not be too generic.",1,5,5,4,5,5,5,1
How are you finding people to share your apartment?,What factors influence your decision on how many people you might consider living with?,I was not going to have roommates in probably a studio. Might depend on how many people I can find.,apartment finding,A good follow-up question should elicit tacit knowledge that are known to the interviewee but unknown to the interviewer.,2,1,4,1,4,1,5,1
What other aspects do you think are important while looking for apartments?,What alternative qualities do you look for in landlords or property management if management is not up to your expectations?,"Management is important. Just in general, good landlords, relations.",apartment finding,A good follow-up question should look for alternatives to existing information.,2,1,4,2,5,1,5,1
Have you considered any other methods for managing utility payments that might offer more flexibility or control?,What other modes of payment would you consider using to pay your bills?,I just pay online once a month  it's an automatic thing  it's just like straight out of my bank account   and then utilities like Gas and Electric I set up my own account and like it's also automatic so I don't really have to do anything basically,apartment finding,A good follow-up question should look for alternatives to existing information.,1,5,2,4,2,5,2,0
